count2019_01,source_name_01_y,ra_01,dec_01
661,ESO545-G013,36.1692,-19.142
662,022445-123352,36.188,-12.5644
663,022505.5-003615,36.2727,-0.604056
665,022505-003614,36.2727,-0.604056
666,NGC-906,36.3177,42.0899
667,UGC-1886,36.502,39.4709
668,022601+010105,36.5052,1.01811
670,022619-013306,36.58,-1.55167
671,NGC-924,36.6951,20.4975
673,NGC0925,36.8204,33.5792
674,J022726+230537,36.8583,23.0938
675,NGC-936,36.9061,-1.15625
678,UGC1921,36.9433,26.5896
680,NGC-931,37.0603,31.3116
683,MRK1043,37.3817,-3.21306
685,CGCG504-097,37.4531,31.454
686,J023004-074008,37.5176,-7.66914
687,Mrk1044,37.5229,-8.99808
690,ESO479-G012,37.8679,-22.9369
691,J023144-005643,37.9355,-0.945528
692,IC1816A,37.9625,-36.6721
693,J023159+005436,37.9983,0.910028
694,UGC2010,38.0297,-1.36222
695,UGC2012,38.1733,21.0328
696,MRK368,38.2116,20.6412
698,023301+002515,38.2552,0.420778
699,SDSSJ02331-0748,38.2946,-7.80358
700,MRK1179,38.3429,27.937
702,2MASXJ02332725+,38.3636,0.210667
705,J0233+0108,38.4652,1.13711
706,NGC-976,38.5001,20.9768
707,NGC-969,38.5342,32.9469
708,NGC-972,38.5557,29.3113
709,CGCG439-017,38.5638,10.5599
711,NGC973,38.5837,32.5057
713,NGC-974,38.6075,32.9544
714,023436-002451,38.6509,-0.414333
715,023437-005847,38.6572,-0.979778
716,NGC985,38.6575,-8.7875
717,NGC-984,38.6796,23.413
718,023447-084705,38.699,-8.78469
720,ESO416-G002,38.8061,-29.6048
721,NGC-987,39.2067,33.3272
722,MRK369,39.3678,21.142
723,UGC-2105,39.4162,34.4317
724,J023805-082209,39.5232,-8.36925
726,J023813-154831,39.5588,-15.8094
727,NGC1019,39.6142,1.90769
728,NGC-1022,39.6362,-6.67747
729,UGC-2134,39.7159,27.8472
730,NGC-1002,39.7317,34.6222
732,ARP258NED02,39.7748,18.3885
733,NGC-1024,39.7999,10.8469
734,NGC1012,39.8123,30.1517
736,NGC-1032,39.8486,1.09378
738,023948-103620,39.9533,-10.6056
739,2MASXJ02400105-,40.0043,-7.74078
740,024004-074421,40.0177,-7.73942
741,NGC-1038,40.0263,1.50878
742,UGC-2156,40.08,32.2623
743,024023-082600,40.0998,-8.43356
744,024035-083249,40.1485,-8.54708
745,J024036+453025,40.1509,45.5071
754,NGC1052,40.27,-8.25578
761,MRK0595,40.3953,7.18725
762,IC-1833,40.4113,-28.1713
765,NGC1055,40.4387,0.442222
766,0241582+1507017,40.4925,15.1171
767,024222-011009,40.5953,-1.16919
768,0242311+1504258,40.6295,15.0739
770,NGC-1050,40.6483,34.7635
771,NGC-1053,40.6483,34.7635
774,024240-000048,40.6696,-0.0133056
775,NGC1068,40.6696,-0.0133056
779,NGC1068test,40.6696,-0.0132778
782,NGC1056,40.7013,28.5741
783,VV588,40.7172,7.59769
784,NGC1071,40.7825,-8.77389
786,NGC-1070,40.8427,4.96844
787,NGC1058,40.8752,37.3414
788,NGC-1073,40.9191,1.37586
