mcp_count,source,ra,dec,velo,date_obs,tsys,int,Rms1,Vlo1,Vhi1
301,011443+001709,18.68279,14.53306,13490,2008.28,35,10,3.1,12024,14969
302,UGC793NED01,18.70292,14.53306,10184,2016.178,41.4,10,4.2,8839,11541
303,IC-1654,18.7995,30.19478,4897,2006.899,39.3,5,5.3,3511,6296
304,2MASXJ01155838+,18.99321,13.61494,18506,2014.086,44.9,10,4.6,16993,20033
305,011603-000652,19.01379,13.61494,13790,2008.28,35.1,10,3.2,12322,15272
306,NGC446,19.015,4.2941400000000005,5446,2011.149,35.4,10,3.2,4054,6850
314,MRK1,19.03004,33.089420000000004,4780,2014.049,48.1,9,5.1,3395,6178
318,NGC452,19.06171,31.03383,4962,2006.899,40.4,5,5.2,3575,6361
319,2MASXJ01163019+,19.12571,14.48153,17952,2014.086,44.7,10,4.8,16444,19474
320,2MASXJ01165408+,19.22537,14.33481,18024,2014.082,59.2,8,7.0,16516,19546
321,UGC829,19.44042,10.19719,10339,2010.124,32.1,10,2.7,8903,11788
323,011845+145935,19.69104,14.99325,6895,2006.299,33.7,10,3.1,5490,8312
324,011905+003745,19.77146,14.99325,9893,2006.18,43.8,10,4.1,8461,11338
325,UGC00841,19.79208,33.03061,5572,2004.036,39.4,32,1.9,5223,8040
326,MRK567,19.8255,4.578,9928,2016.2,56.2,10,5.2,8585,11283
327,2MASXIJ0119220+,19.84171,32.70642,5322,2004.06,30.9,28,1.6,4974,7786
328,UGC00849,19.85071,12.44689,14265,2003.925,57.9,40,2.9,12789,15748
329,116+31,19.89579,32.18056,17900,2004.297,33.6,36,1.7,16393,19421
330,NGC470,19.93692,3.40994,2374,2006.916,43.6,5,5.6,1010,3750
333,CGCG436-030,20.01125,14.36194,9362,2013.485,46.6,10,5.1,7935,10802
334,NGC474,20.02796,3.41528,2372,2005.925,44.8,5,5.9,1008,3748
335,CGCG459-032,20.06125,17.83031,8705,2010.074,28,10,2.5,7284,10139
336,CGCG551-015,20.12875,50.14469,7011,2010.16,40.2,10,3.9,5605,8429
337,012046-082926,20.19542,-8.49061,10197,2006.48,42.4,10,4.0,8762,11645
338,UGC-890,20.28333,1.37333,4947,2005.925,44.7,5,6.0,3560,6346
339,IRAS01189+2156,20.43404,22.20928,17478,2005.169,26.7,28,1.4,17099,20141
340,NGC488,20.44525,5.25675,2269,2005.925,44.3,5,6.1,906,3644
341,MRK1503,20.49925,-1.04003,16291,2014.135,40.1,5,6.2,14799,17797
342,UGC911,20.54162,32.21583,10567,2010.16,33.6,10,3.1,9129,12019
343,IC1683,20.6625,34.43697,4872,2009.108,40.1,15,3.3,3486,6271
344,NGC495,20.73333,33.47164,4114,2005.925,57.2,5,8.0,2735,5506
345,012306+002052,20.77563,33.47164,14090,2008.28,35.3,10,3.0,12619,15575
346,NGC499,20.79792,33.46058,4375,2005.925,55.8,5,7.9,2993,5769
347,MCG-01-04-032,20.8,-6.63611,5330,2009.996,38.9,10,3.7,3940,6733
348,VV730,20.83125,7.795,2700,2010.2,47.3,10,4.5,1333,4079
349,UM319,20.83821,-1.97669,4835,2005.807,55.1,40,2.6,4481,7284
351,UGC933,20.84833,15.21469,10256,2010.124,31.4,10,2.8,8820,11705
352,NGC504,20.86621,33.204440000000005,4090,2005.925,54.8,5,7.4,2711,5481
353,NGC507,20.91675,33.25556,4924,2006.899,39.9,5,5.3,3537,6323
354,2MASXJ01234403+,20.933670000000006,13.65106,15474,2014.049,51.3,10,5.6,13990,16972
355,IC1689,20.94912,33.05531,4566,2011.149,30.7,10,2.7,3183,5962
357,NGC0526A,20.97662,-35.06556,5725,2013.224,60.6,20,4.8,4331,7131
358,NGC512,20.99912,33.90781,4783,2005.925,58.7,5,8.2,3398,6181
359,NGC514,21.01621,12.91736,2470,2005.925,43,5,5.5,1106,3847
360,J012407+105713,21.03162,10.95383,12338,2014.925,47.1,10,5.1,10883,13806
361,IRAS01217+0122,21.10004,1.6425,5088,2012.96,40.8,10,4.1,3700,6489
362,NGC513,21.11183,33.799440000000004,5859,2011.966,33.9,10,4.9,4464,7267
365,NGC520M3,21.13946,3.78972,2266,2005.16,28.1,4,3.9,903,3641
366,NGC520A,21.14375,3.79497,2266,2005.16,27.2,8,2.8,903,3641
367,NGC520B,21.145,3.78969,2266,2005.16,27.8,12,2.8,903,3641
368,NGC520M2,21.14504,3.79525,2266,2005.16,27.9,4,6.9,903,3641
369,NGC520M1,21.14513,3.78408,2266,2005.16,27.7,4,6.4,903,3641
370,UGC964,21.14583,7.7210800000000015,2737,2010.2,47.2,10,4.3,1370,4116
372,NGC520M4,21.15054,3.78975,2266,2005.16,28.3,4,4.0,903,3641
373,NGC517,21.1825,33.42942,4260,2006.899,39,5,5.4,2879,5653
374,NGC524,21.19883,9.53889,2421,2005.925,43.4,5,5.3,1057,3797
375,J012448+005436,21.20383,9.53889,9916,2013.085,47.8,10,5.2,8483,11361
376,UM103,21.36583,3.00333,13491,2012.103,81.1,10,7.1,12025,14970
377,012529-000326,21.37133,3.00333,6295,2006.329,46.6,10,4.6,4896,7707
378,UGC00987,21.38108,32.1365,4658,2005.16,23.5,28,1.3,4311,7111
380,MRK993,21.38517,32.13669,4650,2003.31,33.9,40,1.6,3266,6047
381,NGC528,21.38996,33.671690000000005,4792,2005.925,57.5,5,8.9,3407,6190
